date,precipitation,peti,temperature,discharge_spec,discharge_vol
01/10/1987,0,0.93,7.91,1.54,5.205
02/10/1987,0,0.55,6.41,1.4,4.731
03/10/1987,0,0.56,5.82,1.3,4.394
04/10/1987,0,0.43,4.68,1.24,4.191
05/10/1987,12.3,0.45,6.95,2.29,7.739
06/10/1987,1.5,0.85,6.18,2.03,6.861
07/10/1987,14.11,0.55,3.4,6,20.278
08/10/1987,1.78,0.85,3.65,4.26,14.397
09/10/1987,3.74,0.52,1.58,2.98,10.071
10/10/1987,1.72,0.3,1.65,2.64,8.922
11/10/1987,1.53,0.61,1.94,2.01,6.793
12/10/1987,4.27,0.27,2.16,2.81,9.497
13/10/1987,0.57,0.29,2.1,2.35,7.942
14/10/1987,2.21,0.4,3.74,2.2,7.435
15/10/1987,5.04,0.01,1.11,2.39,8.077
16/10/1987,8.23,0.06,3.39,3.62,12.234
17/10/1987,18.92,0.97,5.44,5.64,19.061
18/10/1987,4.58,0.31,6.03,13.7,46.301
19/10/1987,7.53,0.31,4.81,6.76,22.846
20/10/1987,17.17,0.07,5.85,6.67,22.542
21/10/1987,12.04,0.35,7.66,13.47,45.524
22/10/1987,0.01,0.7,4.69,8.03,27.138
23/10/1987,0,0.23,0.91,4.74,16.019
24/10/1987,0.11,0.41,0.89,3.75,12.674
25/10/1987,3.91,0.51,3.39,3.45,11.660
26/10/1987,6.63,0.83,5.97,4.79,16.188
27/10/1987,7.88,0.04,2.07,5.73,19.365
28/10/1987,0.38,0.37,2.68,3.79,12.809
29/10/1987,0,0.14,1.06,2.93,9.902
30/10/1987,0,0.13,0.01,2.52,8.517
31/10/1987,0.58,0.04,1.15,2.25,7.604
01/11/1987,0.04,0.08,2.65,2.02,6.827
02/11/1987,0,0.07,5.46,1.79,6.050
03/11/1987,0,0.06,4.56,1.64,5.543
04/11/1987,0,0.08,4.25,1.51,5.103
05/11/1987,0,0.06,1.48,1.38,4.664
06/11/1987,0,0.01,1.08,1.28,4.326
07/11/1987,0.71,0.05,1.02,1.23,4.157
08/11/1987,0.84,0.1,1.57,1.2,4.056
09/11/1987,1.97,0.09,2.76,1.17,3.954
10/11/1987,7.78,0.35,3.06,2.14,7.232
11/11/1987,5.18,0.58,0.7,1.97,6.658
12/11/1987,4.34,0.61,0.74,1.8,6.083
13/11/1987,13.16,0.3,1.41,3.31,11.187
14/11/1987,7.08,0.63,2.04,4.45,15.039
15/11/1987,2.77,0.23,1.3,3.52,11.896
16/11/1987,0.96,0.07,3.47,6.3,21.292
17/11/1987,0.49,0.93,5.91,4.59,15.513
18/11/1987,7.8,0.18,6.76,6.57,22.204
19/11/1987,4.07,0.92,4.31,5.78,19.534
20/11/1987,0.16,1.09,3.86,3.78,12.775
21/11/1987,1.4,0.71,3.91,2.91,9.835
22/11/1987,17.23,0.43,0.94,2.64,8.922
23/11/1987,18.33,0.38,0.88,5.08,17.169
24/11/1987,9.18,0.52,-0.01,3.13,10.578
25/11/1987,0.23,0.08,-1,2.3,7.773
26/11/1987,0.52,0.03,-3.32,2.15,7.266
27/11/1987,0.18,0.01,-1.96,1.89,6.388
28/11/1987,0.04,0.02,0.18,1.81,6.117
29/11/1987,0.49,0.06,1.23,2.67,9.024
30/11/1987,0,0.07,-0.7,2.01,6.793
01/12/1987,0,0.03,-2.6,1.64,5.543
02/12/1987,0,0.01,-2.32,1.27,4.292
03/12/1987,0.09,0.03,-3,1.39,4.698
04/12/1987,0.33,0.05,-1.39,1.24,4.191
05/12/1987,0.99,0.11,0.23,1.21,4.089
06/12/1987,0.4,0.23,0.55,1.09,3.684
07/12/1987,0.58,0.04,-3.96,0.6,2.028
08/12/1987,0.15,0.02,-5.12,1.09,3.684
09/12/1987,0.02,0.02,-3.86,1.02,3.447
10/12/1987,0.07,0.04,-2.16,0.99,3.346
11/12/1987,0.12,0,-0.58,0.99,3.346
12/12/1987,0,0.01,-1.93,0.78,2.636
13/12/1987,0,0.01,-5.6,0.55,1.859
14/12/1987,0,0,-5.39,0.69,2.332
15/12/1987,3.07,0.08,-3.79,0.72,2.433
16/12/1987,2.01,0,-2.14,1.43,4.833
17/12/1987,1.2,0,2.54,4.91,16.594
18/12/1987,1.25,0,3.33,5.86,19.805
19/12/1987,3.31,0.84,5.14,5.23,17.675
20/12/1987,3.29,0,5.57,6.02,20.345
21/12/1987,0.65,0.05,5.27,4.73,15.986
22/12/1987,0.03,0.65,3.16,2.94,9.936
23/12/1987,0.04,0.2,2.68,2.39,8.077
24/12/1987,2.27,0.26,3.93,2.3,7.773
25/12/1987,1.95,0.6,4.35,2.96,10.004
26/12/1987,4.12,0.05,4.93,3.26,11.018
27/12/1987,14.3,0.61,3.79,5.79,19.568
28/12/1987,1.45,0.1,5.07,4.25,14.363
29/12/1987,15.44,0.86,5.23,5.05,17.067
30/12/1987,20.81,0.8,4.09,10.12,34.202
31/12/1987,9.82,0.55,2.58,13.54,45.760
01/01/1988,8.97,0.88,4.45,8.35,28.220
02/01/1988,5.31,0.3,2.04,5.79,19.568
03/01/1988,0.09,0.12,-0.62,3.89,13.147
04/01/1988,0.05,0.01,-2.3,2.73,9.226
05/01/1988,1.22,0.01,-3.56,2.44,8.246
06/01/1988,2.87,0.09,-2.16,2.04,6.894
07/01/1988,0.23,0.2,-1.21,1.51,5.103
08/01/1988,3.38,0.33,0.71,2.54,8.584
09/01/1988,17.36,0,3.02,9.27,31.329
10/01/1988,2.1,0.73,0.78,3.52,11.896
11/01/1988,4.37,0.4,0.03,2.81,9.497
12/01/1988,25.66,0,0.62,19.56,66.106
13/01/1988,3.69,1.03,2.5,8.36,28.254
14/01/1988,1.24,0.48,1.89,5.06,17.101
15/01/1988,0.15,0.51,1.95,3.77,12.741
16/01/1988,1.51,0.12,1.31,2.84,9.598
17/01/1988,0.15,0,-0.1,2.37,8.010
18/01/1988,9.39,0.08,-3.25,1.76,5.948
19/01/1988,14.59,0,-1.06,6.05,20.447
20/01/1988,0.18,0.39,-0.12,3.12,10.544
21/01/1988,1.07,0.17,-1.61,2.16,7.300
22/01/1988,0.09,0.09,-2.1,1.52,5.137
23/01/1988,4.69,0.24,-2.81,1.74,5.881
24/01/1988,28.55,0,-2.08,2.69,9.091
25/01/1988,8.79,0.35,-0.76,1.96,6.624
26/01/1988,6.95,0.11,-0.4,1.9,6.421
27/01/1988,0.2,0.13,-2.6,1.58,5.340
28/01/1988,0.88,0.29,-2.31,1.45,4.900
29/01/1988,7.26,0.11,-0.54,1.37,4.630
30/01/1988,11.94,0.02,-0.08,1.64,5.543
31/01/1988,7.66,0.3,1.07,1.36,4.596
01/02/1988,11.7,0.38,-0.22,1.96,6.624
02/02/1988,5.91,0.56,0.92,2.24,7.570
03/02/1988,5.83,0.51,1.21,3.19,10.781
04/02/1988,0.95,0.22,-1.28,1.96,6.624
05/02/1988,1.72,0.28,-0.88,1.52,5.137
06/02/1988,8.85,0.51,-1.71,0.74,2.501
07/02/1988,2.86,0.26,-3.19,1.29,4.360
08/02/1988,13.66,0.56,-1.33,1.22,4.123
09/02/1988,27.65,0.94,-0.59,1.24,4.191
10/02/1988,5.97,0.73,-0.21,1.24,4.191
11/02/1988,0.48,0.32,-0.92,1.15,3.887
12/02/1988,2.51,0.41,-2.32,1.15,3.887
13/02/1988,7.48,0.7,-0.44,1.72,5.813
14/02/1988,2.27,0.61,0.8,2.85,9.632
15/02/1988,4.27,0.03,1.24,8.09,27.341
16/02/1988,0.5,0.88,0.41,4.4,14.870
17/02/1988,0.78,1.02,1.9,3.08,10.409
18/02/1988,0.31,0.72,2.79,7.7,26.023
19/02/1988,0.03,0.41,3.45,10.01,33.830
20/02/1988,0.68,0.55,3.41,7.12,24.063
21/02/1988,0.87,0.79,2.38,5.24,17.709
22/02/1988,1.68,0.73,2,5.62,18.994
23/02/1988,1.33,1.12,-0.44,3.06,10.342
24/02/1988,4.74,0.81,-0.59,2.34,7.908
25/02/1988,2.41,0.27,-1.46,2.03,6.861
26/02/1988,1.46,0.26,0.51,5.04,17.033
27/02/1988,1.58,0.86,3.27,12.23,41.333
28/02/1988,1.66,1.59,1.29,5,16.898
29/02/1988,3.73,1.08,-2.49,2.5,8.449
01/03/1988,1.63,0.98,-2.32,2.22,7.503
02/03/1988,3.82,0.65,-1.42,2.42,8.179
03/03/1988,6.21,0.97,-1.32,1.88,6.354
04/03/1988,1.35,0.91,-3.22,1.71,5.779
05/03/1988,5.25,0.88,-0.58,2.57,8.686
06/03/1988,4.46,0.44,-0.13,3.8,12.843
07/03/1988,0.67,0.61,0.6,2.55,8.618
08/03/1988,0.41,0.62,3.2,5.58,18.858
09/03/1988,3.96,0.7,1.59,4.45,15.039
10/03/1988,0.6,0.91,0.9,3.36,11.356
11/03/1988,5.11,0.85,2.32,7.43,25.111
12/03/1988,0.15,0.83,-1.64,3.24,10.950
13/03/1988,0,0.44,-3.48,2.03,6.861
14/03/1988,6.03,0.64,-4.24,1.97,6.658
15/03/1988,30.44,0.03,-1.99,3.25,10.984
16/03/1988,0.16,0.89,-0.38,2.75,9.294
17/03/1988,0.06,0.83,-1.59,1.91,6.455
18/03/1988,9.35,1.23,-0.9,1.79,6.050
19/03/1988,0.21,0.67,3.8,10.45,35.317
20/03/1988,0.1,1.24,5.55,9.67,32.681
21/03/1988,2.4,0.64,3.09,5.37,18.149
22/03/1988,14.38,0.7,1.38,6.23,21.055
23/03/1988,9.11,0.81,2.66,8.87,29.977
24/03/1988,14.66,1.26,2.18,9.87,33.357
25/03/1988,6.55,1.35,2.64,8.25,27.882
26/03/1988,14.83,1.02,2.64,11.49,38.832
27/03/1988,4.96,1.37,3.71,6.54,22.103
28/03/1988,1.55,1.34,3.34,6.69,22.610
29/03/1988,9.08,1.12,1.46,4.11,13.890
30/03/1988,5.45,0.86,2.07,4.54,15.344
31/03/1988,0.7,1.32,1.78,3.78,12.775
01/04/1988,9.76,0.99,2.95,4.55,15.377
02/04/1988,0.3,0.98,1.84,4.27,14.431
03/04/1988,0.18,1.11,2.62,3.51,11.863
04/04/1988,0,1.4,2.45,3.83,12.944
05/04/1988,0,1.37,4.51,4.76,16.087
06/04/1988,0,1.18,6.71,7.15,24.164
07/04/1988,0.65,0.88,4.69,7.08,23.928
08/04/1988,0.13,1.05,0.72,4.59,15.513
09/04/1988,1.75,1.59,-0.47,3.31,11.187
10/04/1988,1.81,1.2,2.81,5.83,19.703
11/04/1988,0.65,1.26,4.14,5.27,17.811
12/04/1988,0.26,0.81,-0.57,3.14,10.612
